"gdp_2020","geofips"
"1128952",17027
"2499186",17029
"407423348",17031
"1255118",17033
"798312",17035
"4509734",17037
"1323345",17039
"1131744",17041
"94355351",17043
"813968",17045
"286996",17047
"2183702",17049
"578335",17051
"743550",17053
"1018355",17055
"903917",17057
"181506",17059
"312162",17061
"4575436",17063
"331023",17065
"542341",17067
"81180",17069
"171621",17071
"1599181",17073
"1080038",17075
"2544447",17077
"474057",17079
"1898274",17081
"543817",17083
"830802",17085
"250730",17087
"28034696",17089
"6621871",17091
"4041988",17093
"1844145",17095
"63817537",17097
"6030586",17099
"531504",17101
"1669020",17103
"1947317",17105
"1050294",17107
"1140640",17109
"11917926",17111
"14820693",17113
"6660252",17115
"1226030",17117
"12089866",17119
"1360283",17121
"413832",17123
"422076",17125
"647124",17127
"256072",17129
"408059",17131
"955225",17133
"1017464",17135
"1666656",17137
"865598",17139
"3018459",17141
"13039905",17143
"663862",17145
"547267",17147
"560047",17149
"66243",17151
"178787",17153
"358148",17155
"1456124",17157
"609156",17159
"10500203",17161
"11985340",17163
"836136",17165
"11406220",17167
"247965",17169
"148799",17171
"826067",17173
"226424",17175
"1969731",17177
"5817569",17179
"453777",17181
"3330069",17183
"398652",17185
"811781",17187
"1147534",17189
"448998",17191
"495533",17193
"2205946",17195
"35368152",17197
"2977692",17199
"13822915",17201
"1242458",17203
"375336688",18000
"1873334",18001
"21633788",18003
"6639828",18005
"529958",18007
"339782",18009
"3906214",18011
"298876",18013
"730460",18015
"1477637",18017
"5573049",18019
"810698",18021
"1582650",18023
"194596",18025
"1404791",18027
"2042044",18029
"1752905",18031
"2547049",18033
"4246628",18035
"2873115",18037
"16108000",18039
"590858",18041
"3107760",18043
"486593",18045
"557726",18047
"718744",18049
"3436470",18051
"2476246",18053
"652190",18055
"21154318",18057
"3365538",18059
"1214805",18061
"7658048",18063
"1443503",18065
"4182429",18067
"1491617",18069
"2518264",18071
"1497464",18073
"889011",18075
"1579312",18077
"765254",18079
"6036122",18081
"1912494",18083
"6000393",18085
"1825142",18087
"22263506",18089
"4204186",18091
"1367585",18093
"4031849",18095
"95293199",18097
"1701178",18099
"1193169",18101
"978011",18103
"7363238",18105
"1698206",18107
"1981563",18109
"377020",18111
"1940652",18113
"112427",18115
"641334",18117
"581977",18119
"398044",18121
"720550",18123
"699458",18125
"7310882",18127
"3090564",18129
"666983",18131
"1166837",18133
"814646",18135
"1225246",18137
"606631",18139
"14341800",18141
"752323",18143
"2041344",18145
"938194",18147
"600050",18149
"1500413",18151
"896383",18153
"240547",18155
"10466863",18157
"618664",18159
"152643",18161
"11473104",18163
"930742",18165
"4691905",18167
"1204404",18169
"241150",18171
"2418593",18173
"660007",18175
"2857790",18177
"1110117",18179
"1071304",18181
"1573703",18183
"194267619",19000
"471348",19001
"225198",19003
"650482",19005
"422811",19007
"304112",19009
"990090",19011
"8073066",19013
"1114030",19015
"1139507",19017
"824952",19019
"1283184",19021
"462538",19023
"405414",19025
"1330651",19027
"677970",19029
"627227",19031
"2534411",19033
"685792",19035
"657366",19037
"408458",19039
"1078820",19041
"870172",19043
"2278940",19045
"818641",19047
"5839259",19049
"275771",19051
"209813",19053
"948969",19055
"2151263",19057
"1063875",19059
"6816868",19061
"357658",19063
"786317",19065
"799717",19067
"601670",19069
"331909",19071
"501928",19073
"558165",19075
"470676",19077
"726538",19079
"758672",19081
"804716",19083
"463487",19085
"918910",19087
"472800",19089
"470745",19091
"633693",19093
"1148761",19095
"708859",19097
"1260331",19099
"731983",19101
"9915738",19103
"687625",19105
"341537",19107
"887251",19109
"1844592",19111
"16858362",19113
"738846",19115
"334376",19117
"769078",19119
"450695",19121
"899618",19123
"2253544",19125
"2021871",19127
"584197",19129
"673893",19131
"334503",19133
"440607",19135
"421367",19137
"2608878",19139
"900777",19141
"340693",19143
"638930",19145
"519305",19147
"1427185",19149
"478503",19151
"46873133",19153
"4234787",19155
"1244578",19157
"195713",19159
"549379",19161
"9605748",19163
"700778",19165
"2489752",19167
"5761155",19169
"729252",19171
"259421",19173
"642001",19175
"224960",19177
"1686422",19179
"1340791",19181
"1067115",19183
"252125",19185
"2058953",19187
"441583",19189
"1060337",19191
"5335902",19193
"309318",19195
"683910",19197
"175141786",20000
"607820",20001
"290651",20003
"727287",20005
"186697",20007
"1235615",20009
"633432",20011
"545290",20013
"2566780",20015
"126006",20017
"82164",20019
"810962",20021
"124036",20023
"185287",20025
"300236",20027
"391004",20029
"906602",20031
"55119",20033
"1396223",20035
"1755655",20037
"139364",20039
"683924",20041
"272752",20043
"5172020",20045
"163449",20047
"79753",20049
"1576410",20051
"293920",20053
"2213865",20055
"2431703",20057
"945448",20059
"3111482",20061
"148836",20063
"118217",20065
"371362",20067
"529997",20069
"135758",20071
"155618",20073
"232356",20075
"299144",20077
"1376046",20079
"250766",20081
"119605",20083
"429110",20085
"450670",20087
"123303",20089
"52125360",20091
"217117",20093
"374692",20095
"129071",20097
"871616",20099
"99824",20101
"3017069",20103
"141161",20105
"533206",20107
"164191",20109
"1551079",20111
"2096816",20113
"422742",20115
"547578",20117
"242583",20119
"1035345",20121
"477774",20123
"1743775",20125
"195382",20127
"130292",20129
"490089",20131
"610456",20133
"177022",20135
"248921",20137
"344324",20139
"176231",20141
"131186",20143
"281508",20145
"361174",20147
"1288587",20149
"577840",20151
"137312",20153
"2664365",20155
"201941",20157
"592062",20159
"2848478",20161
"189749",20163
"153151",20165
"262054",20167
"2921046",20169
"264195",20171
"31629471",20173
"1292195",20175
"11026082",20177
"129842",20179
"303742",20181
"175359",20183
"181655",20185
"199568",20187
"305965",20189
"749307",20191
"589461",20193
"156023",20195
"159549",20197
"100361",20199
"242899",20201
"185698",20203
"323746",20205
"78265",20207
"11522492",20209
"212539569",21000
"402337",21001
"474859",21003
"564619",21005
"228556",21007
"1464601",21009
"215822",21011
"755004",21013
"11893906",21015
"845303",21017
"3216911",21019
"1264900",21021
"169234",21023
"211407",21025
"421505",21027
"2632479",21029
"311641",21031
"422074",21033
"1465290",21035
"3467067",21037
"159457",21039
"2098679",21041
"531812",21043
"357162",21045
"6123629",21047
"1532359",21049
"355166",21051
"340941",21053
"198804",21055
"178643",21057
"4754090",21059
"202034",21061
"85698",21063
"228034",21065
"20578487",21067
"340150",21069
"1099571",21071
"3199955",21073
"201055",21075
"336955",21077
"276162",21079
"535711",21081
"1211445",21083
"765702",21085
"186352",21087
"885951",21089
"728006",21091
"5399920",21093
"534400",21095
"543058",21097
"592939",21099
"1963830",21101
"350765",21103
"138282",21105
"1813552",21107
"166400",21109
"56755100",21111
"2056693",21113
"464870",21115
"9179931",21117
"220465",21119
"631785",21121
"250680",21123
"2167592",21125
"374162",21127
"132026",21129
"164116",21131
"346817",21133
"222808",21135
"446622",21137
"316790",21139
"1119136",21141
"240463",21143
"4271166",21145
"278546",21147
"218018",21149
"3007799",21151
"162430",21153
"920511",21155
"1490281",21157
"204899",21159
"1167949",21161
"573248",21163
"96961",21165
"813092",21167
"195633",21169
"306302",21171
"1029195",21173
"263071",21175
"1150676",21177
"1668355",21179
"100383",21181
"797078",21183
"1987172",21185
"190283",21187
"51921",21189
"299814",21191
"944986",21193
"1996653",21195
"241697",21197
"2254567",21199
"29104",21201
"336016",21203
"763186",21205
"663405",21207
"3663800",21209
"1714900",21211
"970054",21213
"312907",21215
"919624",21217
"351416",21219
"294204",21221
"579376",21223
"867928",21225
"6371363",21227
"337045",21229
"460367",21231
"407272",21233
"1087119",21235
"106603",21237
"1108467",21239
"235437385",22000
"1626774",22001
"724708",22003
"8435042",22005
"490134",22007
"932249",22009
"1087506",22011
"473187",22013
"5147955",22015
"12612918",22017
"13922531",22019
"205697",22021
"1131646",22023
"192992",22025
"336774",22027
"593494",22029
"1560052",22031
"33817805",22033
"172320",22035
"507817",22037
"945522",22039
"512941",22041
"381707",22043
"2814591",22045
"2097367",22047
"430150",22049
"23588029",22051
"907671",22053
"13476154",22055
"3939207",22057
"452516",22059
"2044365",22061
"3394050",22063
"374584",22065
"621650",22067
"1420570",22069
"23263549",22071
"7077330",22073
"2530055",22075
"777137",22077
"5887259",22079
"420560",22081
"618717",22083
"616560",22085
"1394748",22087
"7555179",22089
"207735",22091
"2416840",22093
"3112742",22095
"2568413",22097
"1263671",22099
"2271987",22101
"12521156",22103
"4494000",22105
"120778",22107
"4931510",22109
"472873",22111
"1384436",22113
"2105476",22115
"1145730",22117
"1167901",22119
"1987607",22121
"212616",22123
"1073197",22125
"464949",22127
"69271785",23000
"4993212",23001
"2759574",23003
"23607906",23005
"1130287",23007
"2643119",23009
"6166109",23011
"1941591",23013
"1274684",23015
"1811029",23017
"7011881",23019
"603477",23021
"1605276",23023
"1802364",23025
"1510953",23027
"1180832",23029
"9229490",23031
"410674700",24000
"3087647",24001
"51542461",24003
"55550190",24005
"4868759",24009
"1123631",24011
"6670958",24013
"5103281",24015
"6229329",24017
"1347521",24019
"14385160",24021
"1329358",24023
"13989356",24025
"27843075",24027
"969261",24029
"93208630",24031
"47079957",24033
"1900153",24035
"8150825",24037
"820560",24039
"2005858",24041
"7279348",24043
"5163884",24045
"2710767",24047
"48314730",24510
"582476824",25000
"13676996",25001
"7099411",25003
"27293361",25005
"1573284",25007
"47142169",25009
"3145383",25011
"23276946",25013
"7890072",25015
"179490988",25017
"1446659",25019
"54735898",25021
"26699009",25023
"143206946",25025
"45799705",25027
"515119927",26000
"232563",26001
"281676",26003
"4759591",26005
"1123044",26007
"633250",26009
"449476",26011
"297710",26013
"1636562",26015
"3721412",26017
"570915",26019
"7987051",26021
"1503877",26023
"6592076",26025
"1161142",26027
"1157017",26029
"642000",26031
"1193306",26033
"1177569",26035
"2286049",26037
"451376",26039
"1307395",26041
"1407879",26043
"5306178",26045
"1759075",26047
"16121115",26049
"516318",26051
"505039",26053
"5323086",26055
"1438227",26057
"1560894",26059
"1192039",26061
"1469385",26063
"17184688",26065
"1582246",26067
"913592",26069
"354787",26071
"2410684",26073
"6830637",26075
"14197267",26077
"566267",26079
"42994917",26081
"55659",26083
"259466",26085
"2379651",26087
"830175",26089
"3106397",26091
"7346634",26093
"160957",26095
"429810",26097
"39384458",26099
"912079",26101
"2787951",26103
"1034201",26105
"1308042",26107
"724944",26109
"5264143",26111
"419294",26113
"5991777",26115
"1718656",26117
"284149",26119
"6013588",26121
"1402974",26123
"105012131",26125
"688735",26127
"575279",26129
"147568",26131
"795392",26133
"200716",26135
"1055254",26137
"15075867",26139
"357241",26141
"639414",26143
"8498872",26145
"5487786",26147
"2184885",26149
"1205841",26151
"286976",26153
"1741906",26155
"1374704",26157
"3122991",26159
"25818964",26161
"94922357",26163
"1312669",26165
"373739277",27000
"523451",27001
"16001503",27003
"1473287",27005
"1919080",27007
"1913700",27009
"234356",27011
"4178197",27013
"1443415",27015
"1437546",27017
"5723861",27019
"1071743",27021
"625055",27023
"1741291",27025
"2178710",27027
"291956",27029
"259881",27031
"678238",27033
"2993995",27035
"26544359",27037
"772882",27039
"2081866",27041
"550949",27043
"681438",27045
"1313873",27047
"3048213",27049
"282604",27051
"140539509",27053
"580772",27055
"816262",27057
"1195358",27059
"2121727",27061
"675434",27063
"456803",27065
"2399460",27067
"236262",27069
"551334",27071
"294890",27073
"549908",27075
"213157",27077
"1040583",27079
"372162",27081
"1531442",27083
"1847788",27085
"168501",27087
"440684",27089
"1041610",27091
"990359",27093
"872725",27095
"1159563",27097
"1948094",27099
"547581",27101
"1643549",27103
"1293830",27105
"254047",27107
"11910710",27109
"2458683",27111
"1857811",27113
"802580",27115
"670520",27117
"1541703",27119
"584967",27121
"42548551",27123
"146236",27125
"880072",27127
"786870",27129
"2950447",27131
"609350",27133
"1146868",27135
"10327498",27137
"7119026",27139
"3570087",27141
"463960",27143
"9128789",27145
"2436189",27147
"630492",27149
"482684",27151
"905367",27153
"213938",27155
"825322",27157
"559918",27159
"793531",27161
"12441899",27163
"485800",27165
"297778",27167
"2425632",27169
"5451705",27171
"535449",27173
"113845652",28000
"923257",28001
"1283309",28003
"220426",28005
"502283",28007
"321280",28009
"1002471",28011
"323639",28013
"118708",28015
"546153",28017
"731664",28019
"637460",28021
"281318",28023
"532104",28025
"730157",28027
"681814",28029
"542922",28031
"6513546",28033
"3706892",28035
"186733",28037
"521849",28039
"162212",28041
"970668",28043
"1704120",28045
"9017732",28047
"12521246",28049
"296188",28051
"203496",28053
"28298",28055
"603439",28057
"6674132",28059
"481070",28061
"109385",28063
"164943",28065
"2452214",28067
"348847",28069
"2231659",28071
"1810521",28073
"3372178",28075
"337470",28077
"502523",28079
"5104389",28081
"1245536",28083
"1171593",28085
"3068862",28087
"6437951",28089
"904752",28091
"822858",28093
"1006893",28095
"204533",28097
"1000166",28099
"474311",28101
"248954",28103
"1865851",28105
"1147095",28107
"1184633",28109
"310893",28111
"1173575",28113
"1037718",28115
"632851",28117
"107547",28119
"6797939",28121
"1127855",28123
"112868",28125
"601357",28127
"333900",28129
"418671",28131
"677657",28133
"280755",28135
"532937",28137
"707728",28139
"618358",28141
"479139",28143
"1147166",28145
"266751",28147
"2238612",28149
"1530240",28151
"531621",28153
"205554",28155
"156118",28157
"513370",28159
"359789",28161
"755979",28163
"329367168",29000
"874590",29001
"339453",29003
"316464",29005
"967717",29007
"1497487",29009
"373108",29011
"508478",29013
"422769",29015
"213189",29017
"10387440",29019
"5331412",29021
"1569652",29023
"227824",29025
"1943041",29027
"1654959",29029
"4195946",29031
"339850",29033
"135407",29035
"2974208",29037
"317277",29039
"282411",29041
"1926094",29043
"161495",29045
"12928723",29047
"449811",29049
"5788775",29051
"483244",29053
"679790",29055
"199493",29057
"280085",29059
"206893",29061
"365136",29063
"398192",29065
"227259",29067
"741856",29069
"4998222",29071
"503172",29073
"237812",29075
"17655139",29077
"352171",29079
"277736",29081
"766926",29083
"155605",29085
"215153",29087
"248668",29089
"1317154",29091
"423178",29093
"48863867",29095
"5536089",29097
"5694374",29099
"2023864",29101
"137893",29103
"1298729",29105
"909354",29107
"898526",29109
"272517",29111
"1366352",29113
"444159",29115
"595439",29117
"750431",29119
"570009",29121
"310727",29123
"188157",29125
"1278149",29127
"104033",29129
"711622",29131
"377725",29133
"473490",29135
"209082",29137
"410704",29139
"526423",29141
"1019853",29143
"2171378",29145
"806410",29147
"230632",29149
"456644",29151
"140892",29153
"430769",29155
"1153189",29157
"1766610",29159
"1666344",29161
"574252",29163
"6895786",29165
"817858",29167
"2483063",29169
"131015",29171
"670514",29173
"1243239",29175
"511961",29177
"244550",29179
"233214",29181
"18072202",29183
"181952",29185
"712074",29186
"1861532",29187
"81153285",29189
"953769",29195
"90617",29197
"158247",29199
"1704217",29201
"150060",29203
"190544",29205
"1127611",29207
"745968",29209
"526962",29211
"2343348",29213
"549149",29215
"852196",29217
"971482",29219
"445363",29221
"235506",29223
"843863",29225
"52702",29227
"358120",29229
"30626044",29510
"51508842",30000
"411684",30001
"871454",30003
"174726",30005
"182286",30007
"375046",30009
"50904",30011
"3770219",30013
"253164",30015
"491984",30017
"118127",30019
"447896",30021
"285526",30023
"186668",30025
"518819",30027
"4463096",30029
"6683210",30031
"48570",30033
"455495",30035
"30234",30037
"102775",30039
"737099",30041
"274058",30043
"96399",30045
"924596",30047
"3721405",30049
"178270",30051
"628502",30053
"118421",30055
"516587",30057
"63079",30059
"110320",30061
"5905841",30063
"296670",30065
"647024",30067
"14606",30069
"151383",30071
"229127",30073
"117466",30075
"235042",30077
"46109",30079
"1259860",30081
"773325",30083
"422548",30085
"755739",30087
"392162",30089
"198673",30091
"1552669",30093
"705164",30095
"270957",30097
"251853",30099
"339215",30101
"76392",30103
"353855",30105
"87981",30107
"49557",30109
"9085005",30111
"133439011",31000
"1880558",31001
"596589",31003
"19834",31005
"38416",31007
"28843",31009
"436175",31011
"610594",31013
"103868",31015
"197581",31017
"3088277",31019
"302309",31021
"330030",31023
"872802",31025
"447683",31027
"312830",31029
"296931",31031
"528092",31033
"337581",31035
"734484",31037
"710830",31039
"716692",31041
"1660143",31043
"306294",31045
"1502329",31047
"81100",31049
"318920",31051
"2224336",31053
"51399407",31055
"177009",31057
"370301",31059
"105188",31061
"101570",31063
"266761",31065
"1006935",31067
"74711",31069
"91134",31071
"100266",31073
"27764",31075
"110832",31077
"3684424",31079
"662747",31081
"174611",31083
"82032",31085
"149505",31087
"703033",31089
"33801",31091
"231632",31093
"447681",31095
"182703",31097
"338079",31099
"393621",31101
"40343",31103
"191316",31105
"507534",31107
"20409844",31109
"2340098",31111
"35245",31113
"32317",31115
"26025",31117
"2595760",31119
"374735",31121
"441137",31123
"135221",31125
"728791",31127
"237644",31129
"1347298",31131
"123470",31133
"293317",31135
"806531",31137
"347491",31139
"2739898",31141
"238656",31143
"550227",31145
"357205",31147
"94084",31149
"1161602",31151
"9449644",31153
"780493",31155
"1745281",31157
"745294",31159
"316974",31161
"117668",31163
"63542",31165
"326998",31167
"371201",31169
"35563",31171
"439321",31173
"308480",31175
"1338036",31177
"524621",31179
"210440",31181
"73454",31183
"836346",31185
"170943817",32000
"1257034",32001
"119386931",32003
"2712735",32005
"2841816",32007
"39308",32009
"1518667",32011
"1391310",32013
"885628",32015
"175646",32017
"1773819",32019
"241258",32021
"1859341",32023
"368067",32027
"2410567",32029
"29361856",32031
"824062",32033
"3895773",32510
"87621042",33000
"2955955",33001
"2361863",33003
"4008036",33005
"1341110",33007
"7061389",33009
"28848611",33011
"10270651",33013
"22875915",33015
"6156148",33017
"1741366",33019
"618579269",34000
"13114102",34001
"78405114",34003
"29806716",34005
"25526436",34007
"5624958",34009
"6703553",34011
"52192853",34013
"14996380",34015
"49416996",34017
"7746195",34019
"38268966",34021
"62763403",34023
"37396952",34025
"55692351",34027
"22896366",34029
"22189730",34031
"5922188",34033
"41825445",34035
"5195984",34037
"38763251",34039
"4131328",34041
"98472135",35000
"38812930",35001
"94772",35003
"2075110",35005
"674933",35006
"441458",35007
"3129796",35009
"80245",35011
"7632409",35013
"5987234",35015
"1016463",35017
"147351",35019
"44320",35021
"209936",35023
"5269608",35025
"690126",35027
"2464053",35028
"888431",35029
"2599399",35031
"109243",35033
"2869330",35035
"315134",35037
"1080962",35039
"672245",35041
"4106525",35043
"5327081",35045
"713915",35047
"6873908",35049
"324970",35051
"507688",35053
"1004710",35055
"430099",35057
"171773",35059
"1705980",35061
"1724759077",36000
"33614595",36001
